===============================================================================
Id,MA,len,datetime,open,high,low,close,volume,openinterest,signal,StrategyClass,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
98,MA,98,2022-07-08 00:00:00,6726.0,6784.0,6510.0,6512.0,1251869.0,,0.5883122762456339,StrategyClass,98,738344.0,Broker,98,773196.9999999999,773197.0999999999,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,MA,99,2022-07-11 00:00:00,6512.0,6618.0,6452.0,6582.0,1305634.0,,0.5857952096324524,StrategyClass,99,738347.0,Broker,99,752196.9999999999,752197.0999999999,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,MA,100,2022-07-12 00:00:00,6534.0,6558.0,6273.0,6278.0,1292105.0,,0.5643383357535473,StrategyClass,100,738348.0,Broker,100,843396.9999999999,843397.0999999999,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,MA,101,2022-07-13 00:00:00,6248.0,6336.0,6157.0,6223.0,1287572.0,,0.5663681517644753,StrategyClass,101,738349.0,Broker,101,859896.9999999999,859897.0999999999,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,MA,102,2022-07-14 00:00:00,6191.0,6409.0,6167.0,6223.0,1352841.0,,0.5862391628136339,StrategyClass,102,738350.0,Broker,102,859896.9999999999,859897.0999999999,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,MA,103,2022-07-15 00:00:00,6195.0,6195.0,6005.0,6007.0,1344600.0,,0.5929829357605605,StrategyClass,103,738351.0,Broker,103,924696.9999999999,924697.0999999999,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,MA,104,2022-07-18 00:00:00,6060.0,6356.0,6056.0,6328.0,1417158.0,,0.5699776900234576,StrategyClass,104,738354.0,Broker,104,828396.9999999999,828397.0999999999,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,MA,105,2022-07-19 00:00:00,6328.0,6505.0,6228.0,6323.0,1531124.0,,0.5673691356395183,StrategyClass,105,738355.0,Broker,105,828396.9999999999,828396.9999999999,BuySell,105,6134.58,,Trades - Net Profit/Loss,105,680099.8,
106,MA,106,2022-07-20 00:00:00,6293.0,6535.0,6263.0,6445.0,1494258.0,,0.5304356176988904,StrategyClass,106,738356.0,Broker,106,873996.7999999999,873996.8999999999,BuySell,106,6169.055,,Trades - Net Profit/Loss,106,,
107,MA,107,2022-07-21 00:00:00,6439.0,6465.0,6205.0,6317.0,1473181.0,,0.5421608326010283,StrategyClass,107,738357.0,Broker,107,835596.7999999999,835596.8999999999,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,MA,108,2022-07-22 00:00:00,6248.0,6493.0,6211.0,6466.0,1222780.0,,0.5393693462119074,StrategyClass,108,738358.0,Broker,108,880296.7999999999,880296.8999999999,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,MA,109,2022-07-25 00:00:00,6475.0,6618.0,6428.0,6474.0,1191773.0,,0.5219578202551084,StrategyClass,109,738361.0,Broker,109,882696.7999999999,882696.8999999999,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,MA,110,2022-07-26 00:00:00,6518.0,6573.0,6439.0,6555.0,1098030.0,,0.5631604285139886,StrategyClass,110,738362.0,Broker,110,906996.7999999999,906996.8999999999,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,MA,111,2022-07-27 00:00:00,6555.0,6600.0,6450.0,6565.0,1039529.0,,0.5921222904455384,StrategyClass,111,738363.0,Broker,111,909996.7999999999,909996.8999999999,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,MA,112,2022-07-28 00:00:00,6578.0,6787.0,6576.0,6772.0,1005280.0,,0.6342075846883811,StrategyClass,112,738364.0,Broker,112,972096.7999999999,972096.8999999999,BuySell,112,,,Trades - Net Profit/Loss,112,,
